Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_satisfied
29,2133,3,4,3,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,929,4,4,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
33,2227,5,5,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
33,569,5,3,5,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
45,2930,2,2,4,12,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38,386,5,5,4,9,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
36,1726,5,3,5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
47,89,4,4,1,40,57.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
28,431,2,4,2,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
47,409,4,4,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
65,347,4,4,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
62,290,5,5,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
41,1050,5,4,5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
39,998,4,4,5,0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
52,682,1,2,1,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
25,173,3,1,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
27,3454,4,5,4,9,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
25,2728,5,5,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
56,226,4,4,5,0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
44,613,5,5,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
35,86,4,1,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
33,3716,5,5,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
45,2737,5,5,2,16,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
31,558,1,4,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
55,373,1,1,1,65,63.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,1201,2,4,2,24,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,846,5,4,5,20,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
26,2321,4,4,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
67,369,3,3,4,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
31,1037,5,4,5,52,39.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
